tld,type,language_code,sponsor,punycode,translation,romanized,rtl
deal,gTLD,,"Amazon Registry Services, Inc.",,,,False
dealer,gTLD,,Intercap Registry Inc.,,,,False
deals,gTLD,,"Binky Moon, LLC",,,,False
degree,gTLD,,"United TLD Holdco, Ltd",,,,False
delivery,gTLD,,"Binky Moon, LLC",,,,False
dell,gTLD,,Dell Inc.,,,,False
deloitte,gTLD,,Deloitte Touche Tohmatsu,,,,False
delta,gTLD,,"Delta Air Lines, Inc.",,,,False
democrat,gTLD,,United TLD Holdco Ltd.,,,,False
dental,gTLD,,"Binky Moon, LLC",,,,False
dentist,gTLD,,"United TLD Holdco, Ltd",,,,False
desi,gTLD,,Desi Networks LLC,,hindi for the peoples and cultures of south asia see also desi,,False
design,gTLD,,"Top Level Design, LLC",,,,False
dev,gTLD,,Charleston Road Registry Inc.,,,,False
dhl,gTLD,,Deutsche Post AG,,,,False
diamonds,gTLD,,"Binky Moon, LLC",,,,False
diet,gTLD,,"Uniregistry, Corp.",,,,False
digital,gTLD,,"Binky Moon, LLC",,,,False
direct,gTLD,,"Binky Moon, LLC",,,,False
directory,gTLD,,"Binky Moon, LLC",,,,False
discount,gTLD,,"Binky Moon, LLC",,,,False
discover,gTLD,,Discover Financial Services,,,,False
dish,gTLD,,Dish DBS Corporation,,,,False
diy,gTLD,,"Lifestyle Domain Holdings, Inc.",,,,False
dj,ccTLD,,Djibouti Telecom S.A,,,,False
dk,ccTLD,,Dansk Internet Forum,,,,False
dm,ccTLD,,DotDM Corporation,,,,False
dnp,gTLD,,"Dai Nippon Printing Co., Ltd.",,,,False
do,ccTLD,,Pontificia Universidad Catolica Madre y Maestra Recinto Santo Tomas de Aquino,,,,False
docs,gTLD,,Charleston Road Registry Inc.,,,,False
doctor,gTLD,,"Binky Moon, LLC",,,,False
dodge,gTLD,,Not assigned,,,,False
dog,gTLD,,"Binky Moon, LLC",,,,False
doha,gTLD,,Not assigned,,,,False
domains,gTLD,,"Binky Moon, LLC",,,,False
doosan,gTLD,,Retired,,,,False
dot,gTLD,,Dish DBS Corporation,,,,False
download,gTLD,,dot Support Limited,,,,False
drive,gTLD,,Charleston Road Registry Inc.,,,,False
dtv,gTLD,,Dish DBS Corporation,,,,False
dubai,gTLD,,Dubai Smart Government Department,,,,False
duck,gTLD,,"Johnson Shareholdings, Inc.",,,,False
